Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
2014-08-06,0.12088,0.12096,0.12086,0.12093
2014-08-07,0.12089,0.12094,0.12081,0.12093
2014-08-08,0.12094,0.12094,0.12086,0.12092
2014-08-11,0.121,0.12102,0.12083,0.12089
2014-08-12,0.12089,0.12092,0.12086,0.12088
2014-08-13,0.12101,0.12102,0.12085,0.1209
2014-08-14,0.12086,0.12089,0.12081,0.12083
2014-08-15,0.12082,0.12082,0.12073,0.12076
2014-08-19,0.12085,0.12086,0.12067,0.1207
2014-08-20,0.12072,0.12074,0.12038,0.12039
2014-08-21,0.12008,0.1201,0.11938,0.1194
2014-08-22,0.11914,0.11918,0.11882,0.11916
2014-08-25,0.11916,0.11918,0.11866,0.11876
2014-08-26,0.11884,0.11897,0.11882,0.11896
2014-08-27,0.11893,0.11902,0.11893,0.11898
2014-08-28,0.11901,0.11905,0.11898,0.119
2014-08-29,0.11902,0.11905,0.11892,0.11903
2014-09-01,0.11897,0.11901,0.11896,0.11897
2014-09-02,0.11895,0.11896,0.11881,0.11884
2014-09-03,0.11892,0.11895,0.11882,0.11884
2014-09-04,0.11911,0.11917,0.11895,0.11902
2014-09-05,0.11901,0.11903,0.11885,0.11885
2014-09-08,0.11884,0.11886,0.11867,0.11873
2014-09-09,0.11901,0.11902,0.11889,0.11897
2014-09-10,0.119,0.11905,0.11889,0.11903
2014-09-11,0.11892,0.11905,0.11889,0.11903
2014-09-12,0.11902,0.11906,0.11895,0.11902
2014-09-15,0.11902,0.11905,0.11883,0.11904
2014-09-16,0.11901,0.11905,0.11891,0.11904
2014-09-17,0.11902,0.11905,0.11877,0.11884
2014-09-18,0.11891,0.11892,0.1185,0.11875
2014-09-19,0.11884,0.11885,0.11862,0.11872
2014-09-22,0.11876,0.11878,0.11858,0.11861
2014-09-23,0.11867,0.1187,0.11845,0.11868
2014-09-24,0.11862,0.1187,0.11857,0.11868
2014-09-25,0.1189,0.11891,0.1186,0.1188
2014-09-26,0.11871,0.11878,0.11834,0.11836
2014-09-29,0.11814,0.11816,0.1177,0.11791
2014-09-30,0.11792,0.11845,0.11785,0.11845
2014-10-01,0.11843,0.11845,0.11836,0.11841
2014-10-02,0.11835,0.1185,0.11826,0.11829
2014-10-03,0.11828,0.11832,0.11814,0.11814
2014-10-06,0.118,0.11826,0.11796,0.11819
2014-10-07,0.11805,0.11817,0.11796,0.11807
2014-10-08,0.11801,0.11827,0.11791,0.11821
2014-10-09,0.11822,0.11823,0.11791,0.118
2014-10-10,0.11799,0.11807,0.11791,0.118
2014-10-14,0.11793,0.11804,0.11791,0.11799
2014-10-15,0.11799,0.11807,0.11788,0.118
2014-10-16,0.11793,0.118,0.11789,0.11796
2014-10-17,0.11796,0.11803,0.11791,0.118
2014-10-20,0.11786,0.11804,0.11783,0.118
2014-10-21,0.11802,0.11803,0.11767,0.11769
2014-10-22,0.11771,0.11781,0.1177,0.11779
2014-10-23,0.11782,0.11792,0.11779,0.11781
2014-10-24,0.11769,0.11784,0.11767,0.11777
2014-10-27,0.11771,0.11773,0.11765,0.11767
2014-10-28,0.11764,0.11768,0.1176,0.11765
2014-10-29,0.11762,0.11767,0.11759,0.1176
2014-10-30,0.1176,0.11765,0.11756,0.11764
2014-10-31,0.11759,0.11765,0.11757,0.11762
2014-11-03,0.11762,0.11762,0.11748,0.11754
2014-11-04,0.11755,0.11759,0.11749,0.11756
2014-11-05,0.11753,0.11757,0.11751,0.11754
2014-11-07,0.11755,0.11756,0.11749,0.11753
2014-11-10,0.11752,0.11754,0.11742,0.11752
2014-11-11,0.11755,0.11756,0.11751,0.11754
2014-11-12,0.11754,0.11755,0.11745,0.11751
2014-11-13,0.1175,0.11755,0.11749,0.11751
2014-11-14,0.11748,0.11752,0.11746,0.1175
2014-11-17,0.11746,0.11751,0.11746,0.11751
2014-11-18,0.11746,0.1175,0.11739,0.11745
2014-11-19,0.11744,0.11745,0.1174,0.11745
2014-11-20,0.11744,0.11746,0.1174,0.11743
2014-11-21,0.11744,0.11746,0.11741,0.11743
2014-11-25,0.11734,0.11743,0.11733,0.11738
2014-11-26,0.11735,0.11738,0.11726,0.11734
2014-11-27,0.11735,0.11737,0.11732,0.11735
2014-11-28,0.1173,0.11732,0.11724,0.11732
2014-12-01,0.11728,0.11734,0.11719,0.11723
2014-12-02,0.1172,0.11723,0.11711,0.11718
2014-12-03,0.11722,0.11722,0.117,0.11704
2014-12-04,0.11703,0.11707,0.11695,0.11699
2014-12-05,0.11701,0.11706,0.11683,0.11685
2014-12-09,0.11695,0.11698,0.11687,0.11694
2014-12-10,0.1169,0.117,0.11687,0.11695
2014-12-11,0.11687,0.11695,0.11687,0.11695
2014-12-12,0.11692,0.11695,0.11688,0.11694
2014-12-15,0.11696,0.11696,0.11688,0.11695
2014-12-16,0.11694,0.11696,0.1169,0.11693
2014-12-17,0.11693,0.11696,0.11689,0.11689
2014-12-18,0.11689,0.11696,0.11687,0.11694
2014-12-19,0.1169,0.11697,0.11688,0.11694
2014-12-22,0.1169,0.11696,0.1169,0.11695
2014-12-23,0.11694,0.11697,0.11692,0.11693
2014-12-29,0.11688,0.11697,0.11688,0.11694
2014-12-30,0.11692,0.11696,0.1169,0.11694
2015-01-02,0.11693,0.11695,0.11687,0.11688
2015-01-05,0.11687,0.11692,0.1168,0.1168
2015-01-06,0.11699,0.11701,0.11692,0.11696
2015-01-07,0.11661,0.11665,0.11646,0.11646
2015-01-08,0.11642,0.11646,0.11636,0.1164
2015-01-09,0.11639,0.11644,0.11635,0.11642
2015-01-12,0.11639,0.11642,0.11636,0.11639
2015-01-13,0.11636,0.11643,0.11634,0.11636
2015-01-14,0.11638,0.1164,0.11631,0.11637
2015-01-15,0.11633,0.11637,0.11628,0.11633
2015-01-16,0.11629,0.11635,0.11625,0.11626
2015-01-19,0.11629,0.11633,0.11627,0.11629
2015-01-20,0.11618,0.11619,0.11612,0.11617
2015-01-21,0.11615,0.11616,0.11607,0.11609
2015-01-22,0.11606,0.1161,0.11597,0.11607
2015-01-23,0.11597,0.11599,0.11591,0.11592
2015-01-26,0.11589,0.11603,0.11585,0.11596
2015-01-27,0.1159,0.11593,0.11585,0.11587
2015-01-28,0.11587,0.1159,0.11581,0.11589
2015-01-29,0.11584,0.11589,0.1158,0.11586
2015-01-30,0.11577,0.11586,0.11569,0.11572
2015-02-02,0.11582,0.11584,0.11554,0.11557
2015-02-03,0.11551,0.11562,0.11544,0.11558
2015-02-04,0.11545,0.11562,0.11543,0.11547
2015-02-05,0.11547,0.11559,0.11544,0.11558
2015-02-06,0.11558,0.11561,0.11544,0.11548
2015-02-09,0.11549,0.11552,0.11537,0.11538
2015-02-10,0.11537,0.1154,0.11531,0.11539
2015-02-11,0.11534,0.11538,0.11522,0.1153
2015-02-12,0.11526,0.11532,0.11518,0.11519
2015-02-13,0.11523,0.11525,0.11513,0.11517
2015-02-18,0.1151,0.11512,0.11505,0.11509
2015-02-19,0.11504,0.11508,0.11501,0.11503
2015-02-20,0.11497,0.11497,0.11487,0.11495
2015-02-23,0.1149,0.11492,0.11481,0.11482
2015-02-24,0.11484,0.11513,0.11466,0.11506
2015-02-25,0.11464,0.11474,0.11464,0.11467
2015-02-26,0.11466,0.11467,0.11458,0.11467
2015-02-27,0.11466,0.11469,0.11457,0.11464
2015-03-02,0.11458,0.11461,0.1145,0.11453
2015-03-03,0.11449,0.11451,0.11442,0.11443
2015-03-04,0.11439,0.11443,0.11435,0.11437
2015-03-05,0.11434,0.11437,0.11427,0.11427
2015-03-06,0.11426,0.11428,0.11416,0.11417
2015-03-09,0.11419,0.1142,0.11408,0.11411
2015-03-10,0.11409,0.11416,0.114,0.11402
2015-03-11,0.11401,0.11403,0.11392,0.11397
2015-03-12,0.11398,0.11398,0.11389,0.11391
2015-03-13,0.11385,0.11389,0.11381,0.11386
2015-03-16,0.11388,0.11389,0.11383,0.11386
2015-03-17,0.11386,0.11387,0.11379,0.11383
2015-03-18,0.11379,0.1138,0.11372,0.11376
2015-03-19,0.11377,0.11377,0.1137,0.11374
2015-03-20,0.11368,0.11376,0.11364,0.11365
2015-03-25,0.11363,0.11365,0.11358,0.11363
2015-03-26,0.11364,0.11369,0.11355,0.11356
2015-03-27,0.11355,0.11357,0.11351,0.11352
2015-03-30,0.11345,0.11349,0.11342,0.11344
2015-03-31,0.11339,0.11346,0.11336,0.11337
2015-04-01,0.11335,0.11339,0.11326,0.11329
2015-04-06,0.11333,0.11339,0.11326,0.1133
2015-04-07,0.11316,0.11323,0.11314,0.11318
2015-04-08,0.11316,0.11318,0.1131,0.11313
2015-04-09,0.11314,0.11315,0.11303,0.11306
2015-04-10,0.11305,0.11305,0.11298,0.113
2015-04-13,0.11296,0.11301,0.11291,0.11293
2015-04-14,0.11289,0.11291,0.11288,0.11289
2015-04-15,0.11287,0.11291,0.11277,0.1128
2015-04-16,0.11276,0.11281,0.11273,0.11277
2015-04-17,0.11281,0.11283,0.11275,0.11275
2015-04-20,0.11272,0.11279,0.11271,0.11276
2015-04-21,0.11278,0.11279,0.11268,0.11268
