Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2023-12-13,41211.65,43448.85,40563.11,42972.29,87165.095185049
2023-12-14,42972.29,43424.72,41784.82,43077.92,71816.075217662
2023-12-15,43077.92,43187.47,41656.42,42064.92,54249.41953329
2023-12-16,42064.92,42689.1,41625.15,42277.01,36206.86426833
2023-12-17,42277.02,42373.15,41532.36,41674.88,38724.89365602
2023-12-18,41674.89,42744.55,40515.1,42498.35,76321.5396796
2023-12-19,42498.36,43465.05,41797.42,42312.04,71296.716362736
2023-12-20,42312.05,44282.1,42192.07,43613.42,89791.39198058
2023-12-21,43610.82,44245.76,43290.54,43957.34,66097.098681279
2023-12-22,43957.78,44411.19,43422.98,43834.59,56738.461298685
2023-12-23,43834.59,44084.27,43330.07,43767.73,26751.076916688
2023-12-24,43767.72,43963.34,42704.43,43005.66,34504.338398773
2023-12-25,43007.5,43806.92,42755.57,43689.76,41910.6112594
2023-12-26,43689.75,43689.75,41703.68,42465.75,60515.068273422
2023-12-27,42465.75,43698.84,42103.14,43350.67,58480.250428701
2023-12-28,43356.09,43815.16,42273.56,42644.4,58361.441660273
2023-12-29,42647.05,43129.69,41306.88,41769.38,73384.112794043
2023-12-30,41769.38,42603.85,41521.75,42131.47,42126.05407118
2023-12-31,42125.3,42880.97,41981.6,42247.33,36974.709628641
2024-01-01,42250.67,43836.12,42053.81,43538.21,36699.932019991
2024-01-02,43538.2,45919.08,43538.2,44998.36,120428.89657588
2024-01-03,44998.59,45510.92,40823.78,42765.5,108719.30214483
2024-01-04,42766.39,44791.82,42607.7,44370.75,77637.561885182
2024-01-05,44370.75,44407.12,42530.83,44002.17,80687.059472485
2024-01-06,44006.7,44343.01,43436.73,43904.94,31715.856620247
2024-01-07,43904.95,44498.83,43726.66,43898.07,33319.345335153
2024-01-08,43890.92,47261.66,43201.08,47041.83,118738.47706107
2024-01-09,47041.83,47636.18,45198.27,46275.42,84466.746510942
2024-01-10,46266.32,46958.68,44331.13,46914.42,127091.90165764
2024-01-11,46914.42,48976.26,45596.8,46402.77,148231.48624513
2024-01-12,46402.78,46520.53,41717.08,42481.94,138419.26094049
2024-01-13,42464.55,43247.86,42426.37,42980.33,57983.414934712
2024-01-14,42980.34,43068.51,41974.38,42250.7,37350.906042198
2024-01-15,42250.8,43360.94,41688.01,42576.79,64329.206632143
2024-01-16,42588.94,43573.63,42058.22,43199.08,66835.933958268
2024-01-17,43199.09,43277.78,42162.79,42679.41,53088.112862974
2024-01-18,42679.41,42876.96,40597.85,41312.9,74618.920598175
2024-01-19,41303.61,42148.65,40259.3,41645.83,76408.345082307
2024-01-20,41645.83,41830.48,41418.58,41747.28,24371.975286794
2024-01-21,41747.27,41854.99,41503.41,41607.17,18120.252094424
2024-01-22,41607.16,41658.8,39415.31,39794.81,77887.770074087
2024-01-23,39793.06,40136.96,38514,39433.99,76509.535042704
2024-01-24,39453.27,40519.71,39437.34,39854.86,66375.128323978
2024-01-25,39854.85,40274.04,39523.9,39934.73,44992.076486968
2024-01-26,39934.73,42231.43,39801.82,41897.47,70596.833451697
2024-01-27,41897.47,42197.47,41390.56,42155.08,21989.855351794
2024-01-28,42154.96,42828.72,41617.91,41827.31,34179.562265188
2024-01-29,41833.46,43290.89,41746.94,43111.1,38069.14937321
2024-01-30,43110.23,43861.32,43078.11,43326.9,56885.727274788
2024-01-31,43324.01,43736.79,42287.4,42632.17,59896.933836671
2024-02-01,42632.18,43271.28,41851.41,42914.66,53725.915950887
2024-02-02,42914.67,43453.63,42522.12,43179.7,44085.316871205
2024-02-03,43179.69,43354.85,42864.13,43016.5,14230.766074317
2024-02-04,43016.69,43100.5,42299.56,42553.31,19989.513058358
2024-02-05,42553.3,43521.82,42236.14,42449.06,42834.128979659
2024-02-06,42449.02,43361.28,42406.53,43186.15,35561.744999577
2024-02-07,43186.17,44388.95,42757.21,44151.85,55145.822870113
2024-02-08,44151.85,45616.55,44143.85,45280.61,76259.428041657
2024-02-09,45283.39,48206.4,45246.19,47300.03,127769.34776623
2024-02-10,47300.03,48170.95,46834.16,47839.78,28922.202640318
2024-02-11,47839.78,48606.67,47577.78,48149.95,45700.986136718
2024-02-12,48150.32,50347.51,47713.89,50043.1,103663.95543325
2024-02-13,50043.11,50391.75,48311.12,49540.84,94361.860756993
2024-02-14,49540.85,52034.41,49251.73,51840.6,101476.81570916
2024-02-15,51843.07,52843.56,51364.29,51689.33,101669.86193773
2024-02-16,51685.67,52599.4,51601.54,52017.89,70623.229982702
2024-02-17,52017.88,52246.63,50645.26,51721.89,45309.023912948
2024-02-18,51721.88,52382.24,51188.91,52245.54,32638.015232431
2024-02-19,52245.55,52496.12,51685.69,51948.87,46114.824837922
2024-02-20,51948.88,52985.82,50765.05,52178.56,82625.529854201
2024-02-21,52178.56,52528.33,50640.53,51511.1,73262.73127889
2024-02-22,51499.72,52049.61,50913.27,51439.53,60757.826115993
2024-02-23,51422.69,51516.58,50643.52,50780.9,42423.065954652
2024-02-24,50780.9,51683.84,50521.28,51556.08,20744.839004713
2024-02-25,51556.08,51951.28,51281.39,51699.41,25182.26179274
2024-02-26,51699.42,54951.96,50907.1,54695.31,81063.05325731
2024-02-27,54695.32,57564.17,54477.53,56915.67,95934.923292314
2024-02-28,56915.67,64078.07,56725.3,61317.83,195024.6933835
2024-02-29,61317.84,63683.79,60362.5,61260.13,160293.75765667
2024-03-01,61260.13,63183.02,60797.67,62538.3,90462.430285599
2024-03-02,62538.21,62767.91,61674.84,61745.47,41259.636215506
2024-03-03,61745.46,63257.1,61431.89,62847.2,46606.480311321
2024-03-04,62855.69,68003.84,62397.81,68003.83,153787.75383565
2024-03-05,68003.83,68992.07,60331.58,63419.72,218712.23611034
2024-03-06,63469.76,67642.23,62832.51,65949.48,138842.53527884
2024-03-07,65949.49,68054.78,65593.61,67198.14,78758.790724182
2024-03-08,67198.14,69982.02,66303.66,68290.76,108565.88635867
2024-03-09,68283.08,68693.94,68030.75,68498.3,31510.388217725
2024-03-10,68497.62,70025.99,68218.17,68498.66,53940.381435524
2024-03-11,68515.29,72858.24,67623.4,72455.59,117076.81897755
2024-03-12,72455.6,72812.74,69082.29,71166.99,89194.217567995
2024-03-13,71166.99,73672.61,71041.11,72987.57,70485.06174122
2024-03-14,72988.31,73532.07,68668.88,71514.16,76678.843926456
2024-03-15,71503.51,72390,65619.8,69110.52,130813.64292103
2024-03-16,69110.51,70045.1,65756.63,66335.96,71767.958995964
2024-03-17,66318.61,68862.11,64499.73,68201.11,79466.32890256
2024-03-18,68203.96,68907.46,66562.01,67687.94,82326.674090513
2024-03-19,67687.95,68105.17,62418.11,62578.85,110933.97046962
2024-03-20,62578.84,67914.9,60770.41,67488.58,123946.82876995
2024-03-21,67064.39,67667.9,64520.82,65377.16,38351.468662857
2024-03-22,65368.95,66635.8,62307.48,63045.87,71958.719685959
