Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2020-09-25,2.2975,2.54565,2.275,2.505,30060628
2020-09-28,2.54,2.565,2.3875,2.5225,27057292
2020-09-29,2.5,2.6625,2.4825,2.5875,20977356
2020-09-30,2.5625,2.68992,2.515,2.55,24316132
2020-10-01,2.5225,2.5625,2.4225,2.4425,18216220
2020-10-02,2.345,2.445,2.325,2.3475,17361936
2020-10-05,2.36,2.3975,2.31255,2.365,11219876
2020-10-06,2.39,2.45875,2.275,2.2825,18141684
2020-10-07,2.3075,2.39,2.29195,2.34,13234576
2020-10-08,2.385,3.41,2.2975,3.3725,305814228
2020-10-09,3.2075,3.7,2.975,3.005,308611120
2020-10-12,2.915,3.19155,2.85,2.95,94622804
2020-10-13,2.9325,3.105,2.9125,2.97,40718832
2020-10-14,3.1675,3.17,3.0125,3.0625,43107048
2020-10-15,2.9975,3.775,2.9975,3.4575,159579288
2020-10-16,3.4425,3.475,3.27,3.3275,46606312
2020-10-19,3.36,3.625,3.345,3.4775,52676292
2020-10-20,3.5075,3.53575,3.41625,3.465,26415804
2020-10-21,3.475,3.605,3.45,3.525,21447712
2020-10-22,3.55,3.9675,3.5475,3.7275,64848928
2020-10-23,3.7625,3.845,3.6375,3.75,26029296
2020-10-26,3.7325,3.8625,3.315,3.3625,53505076
2020-10-27,3.4275,3.4275,3.09,3.1725,28924024
2020-10-28,3.0675,3.2625,2.945,2.955,25554320
2020-10-29,2.97,3.0625,2.92002,2.9325,16663372
2020-10-30,2.91,2.91,2.59,2.6175,46249468
2020-11-02,2.705,2.7725,2.625,2.6875,20908044
2020-11-03,2.6875,2.965,2.6575,2.8925,29817888
2020-11-04,2.94,2.94248,2.6525,2.7275,23231484
2020-11-05,2.8175,2.96,2.765,2.8625,18820980
2020-11-06,2.88,3.0425,2.83,2.965,22072972
2020-11-09,3.19,3.2325,2.8125,2.8725,24979460
2020-11-10,2.875,2.915,2.7075,2.775,15303852
2020-11-11,2.875,2.9875,2.8025,2.9375,19530276
2020-11-12,2.935,2.9675,2.7425,2.7825,17423568
2020-11-13,2.84,2.8875,2.75,2.7525,14184684
2020-11-16,2.79,3.16505,2.68,3.015,39099296
2020-11-17,2.9125,2.98,2.8075,2.9075,26712704
2020-11-18,2.95,3.01,2.89,2.8925,12676888
2020-11-19,2.9,3.1975,2.8625,3.115,47150452
2020-11-20,3.1375,3.365,3.135,3.1775,33609388
2020-11-23,3.225,3.53,3.1675,3.475,38431892
2020-11-24,3.5575,3.565,3.325,3.4175,28746840
2020-11-25,3.4,3.8125,3.355,3.6875,35440368
2020-11-27,3.8225,4.185,3.72,4.02,50016788
2020-11-30,4.5425,4.855,4.13938,4.14,127933992
2020-12-01,4.2775,4.35,3.94,3.95,50664108
2020-12-02,3.925,4.17,3.845,4.145,31533520
2020-12-03,4.12,4.16,3.9675,4.03,25179860
2020-12-04,4.075,4.3225,4.065,4.225,35890688
