Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2018-01-03,81.6532,83.024,79.7034,80.6551,1188509.1540136
2018-01-04,81.7253,82.9915,80.9635,81.8044,1233512.6197848
2018-01-05,81.4239,81.5338,80.5039,81.5338,1317502.7774358
2018-01-08,82.1111,84.5574,81.5742,84.4071,703313.86718384
2018-01-09,84.7832,85.017,81.5338,81.8044,1075244.2674841
2018-01-10,81.996,82.1848,80.4327,81.0821,701315.48342118
2018-01-11,81.8044,82.4151,80.5443,81.843,1028551.9625877
2018-01-12,82.1848,83.1066,81.3053,82.1848,933031.26718998
2018-01-15,81.4239,82.3,81.0821,81.5742,413536.84128127
2018-01-16,81.5742,83.8298,81.0434,83.6373,1220914.6082514
2018-01-17,83.604,84.7832,82.8352,84.0635,1057370.3407322
2018-01-18,84.2481,84.4818,82.9915,83.1471,818775.15500144
2018-01-19,83.6373,83.8632,82.1523,83.1805,1049184.4783149
2018-01-22,82.1111,85.9791,82.0697,85.6276,1120953.3129437
2018-01-23,86.1628,87.3086,84.5987,86.3974,1241977.2999822
2018-01-24,86.4642,86.4642,84.6742,85.1004,685796.14437145
2018-01-25,84.0969,84.0969,80.4644,80.6225,1980767.0310802
2018-01-26,81.503,83.7543,80.8528,83.6708,1251781.4435558
2018-01-29,83.336,83.7129,82.7201,83.604,730749.5367454
2018-01-30,82.9503,83.6708,81.6146,82.4564,1140868.8686649
2018-01-31,82.1848,83.6708,81.2332,82.9503,728993.55374666
2018-02-01,83.5284,83.6373,80.6225,82.4977,768718.82823585
2018-02-02,80.7728,81.6928,78.8625,78.8625,2154650.317098
2018-02-05,78.7474,80.1235,76.7219,80.1235,1504817.1142321
2018-02-06,75.9953,78.5944,73.5322,75.6895,3089253.2061423
2018-02-07,77.5242,77.7527,75.4443,76.9882,1793835.0729537
2018-02-08,76.7975,76.7975,72.4927,72.6456,2069987.5826795
2018-02-09,72.2801,74.0673,71.3161,71.4839,1895069.8257959
2018-02-12,72.6148,73.6552,72.2633,72.6614,787634.05404399
2018-02-13,72.9373,73.7773,72.9373,73.6552,1007821.5761296
2018-02-14,74.0832,74.7097,73.5322,74.2817,1137601.5794949
2018-02-15,74.2817,74.8327,72.0797,72.0797,1064404.515013
2018-02-16,72.983,72.983,71.6518,72.02,778693.67657279
2018-02-19,71.9426,72.9373,71.3627,71.8503,379335.57293327
2018-02-20,71.8662,73.1658,71.2705,73.0129,398585.38007753
2018-02-21,73.15,73.15,71.346,73.0129,849519.08287624
2018-02-22,72.2801,72.2801,69.955,71.2705,1405954.0195684
2018-02-23,71.5446,72.6773,70.9031,71.1026,1174364.5573245
2018-02-26,72.02,73.136,71.5297,71.7897,677536.30989004
2018-02-27,72.0797,78.25,70.5059,75.5366,3811671.2124057
2018-02-28,75.5049,75.6895,73.5955,73.7932,1785366.9786611
2018-03-01,73.7466,74.8793,73.0129,73.2888,1671801.6517481
2018-03-02,72.9373,73.9611,71.9576,72.7835,704396.13538332
2018-03-05,70.7344,72.7835,70.0463,70.8118,1590794.2753282
2018-03-06,71.4084,72.2475,70.5059,71.8662,899658.48595999
2018-03-07,70.8873,71.7756,70.0007,71.7756,1329832.2134749
2018-03-08,71.8662,71.8662,70.0314,70.3381,897913.88327881
2018-03-09,70.4128,71.8662,69.0376,71.8662,991330.35796065
2018-03-12,72.6315,73.7009,71.8969,73.2115,650291.82966341
2018-03-13,73.3951,73.7932,72.02,72.4171,977184.62323981
2018-03-14,71.8969,72.2027,70.1676,70.1676,1249597.560617
2018-03-15,70.4128,70.7503,69.4963,69.7257,1152468.8263487
2018-03-16,69.5886,69.9857,67.4779,67.6159,3761135.7742711
2018-03-19,67.6159,68.7318,67.0491,67.0491,443200.77702009
2018-03-20,66.8505,67.3408,65.4445,65.9332,1207115.973216
2018-03-21,65.8576,69.7098,65.8576,69.3285,2078633.209926
2018-03-22,68.8232,69.0833,67.4015,67.5544,781649.14504182
2018-03-23,66.5149,66.7591,65.246,65.7504,1666194.5692888
2018-03-26,66.0104,66.8215,65.5201,66.5149,605482.96732241
2018-03-27,66.5149,67.738,65.9182,65.9182,563676.23275242
2018-03-28,65.5817,65.7187,63.4262,63.9139,1162643.9682746
2018-03-29,64.6494,64.8945,63.7003,64.312,1038524.5348612
2018-04-03,64.4191,67.8759,64.2969,66.8664,1514974.0476499
2018-04-04,66.8215,67.2029,65.6273,65.6273,1030798.4372731
2018-04-05,66.5149,69.267,66.5149,68.441,1053952.8313705
2018-04-06,68.441,71.3012,68.0886,70.933,1007980.9005753
2018-04-09,70.933,71.8503,68.441,69.0833,1205959.7329524
2018-04-10,71.3302,71.3302,67.6308,68.0736,1446795.7032098
2018-04-11,67.8909,68.8083,67.0491,68.3654,1378700.4350877
2018-04-12,68.3338,69.8029,68.2117,69.8029,712402.18878325
2018-04-13,69.8786,70.4901,69.5727,69.5727,538672.53705237
2018-04-16,70.1676,70.3381,69.1756,69.9251,373142.40411985
2018-04-17,69.817,70.078,66.8962,67.2485,1246522.5988136
2018-04-18,67.2785,67.6308,66.5913,67.6308,1079398.0833917
2018-04-19,67.3557,68.4717,67.3557,68.0736,766215.15837375
2018-04-20,68.2274,69.4963,67.2029,67.2029,846164.16526103
2018-04-23,67.448,68.4261,67.1879,67.9981,445391.48814943
2018-04-24,67.9357,68.3804,66.6827,66.6827,1135452.9755405
2018-04-25,66.6827,67.0034,65.5201,66.2855,747824.56520489
2018-04-26,66.0562,68.7776,65.413,68.7776,515029.92733189
