Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2024-01-02,65.92,66.78,64.87,65.5,1788865
2024-01-03,65.47,65.48,63.64,64.65,1947154
2024-01-04,64.67,65.46,64.35,64.35,1944386
2024-01-05,64.03,64.65,63.46,64.31,1659655
2024-01-08,64.03,64.18,62.51,63.1,2119961
2024-01-09,63.84,63.87,63.13,63.14,1181502
2024-01-10,62.99,63.43,62.56,62.56,1181504
2024-01-11,62.81,62.91,61.8,61.8,1590747
2024-01-12,61.9,62.57,61.5,61.65,1067024
2024-01-15,61.75,62.02,60.66,60.84,1147652
2024-01-16,60.55,61.24,60.15,60.56,1036337
2024-01-17,60.35,60.49,58.5,58.6,2844316
2024-01-18,59,59.57,58.3,59,2907307
2024-01-19,59.67,60.27,59.5,59.94,1842601
2024-01-22,60.39,60.59,59.83,60.01,1233116
2024-01-23,60.37,60.47,59.49,60.05,1800508
2024-01-24,60.58,61.25,60.06,60.71,1397204
2024-01-25,60.9,61.17,60.31,60.47,1009831
2024-01-26,60.37,61.1,59.89,61.02,1286582
2024-01-29,61.02,62.37,61,62.3,2747095
2024-01-30,62.32,62.49,61.66,62,2755482
2024-01-31,62,62.86,61.86,62.66,1467211
2024-02-01,62.45,65.8,62.05,65.55,4654372
2024-02-02,65.76,66.45,65.2,65.8,2752572
2024-02-05,65.8,66.64,65,65.42,3073800
2024-02-06,65.51,66.33,65.28,65.84,1636451
2024-02-07,65.9,66.45,65.5,65.87,1442710
2024-02-08,65.87,66,65.16,65.67,1793512
2024-02-09,65.72,66.29,65.5,66.05,1996658
2024-02-12,66.2,67.35,65.82,66.95,4029834
2024-02-13,67,67.78,65.93,66.1,2213795
2024-02-14,66.44,67,65.88,66.9,1042642
2024-02-15,67,67.45,66.5,67,1891710
2024-02-16,67.1,68.15,67.1,67.83,1870487
2024-02-19,67.84,68.87,67.32,67.67,1756624
2024-02-20,67.64,68.05,67.1,67.89,2421278
2024-02-21,68.05,68.3,67.28,67.61,1877853
2024-02-22,68,68.46,65.27,66.11,4861228
2024-02-23,66.11,66.97,65.56,66.12,2185340
2024-02-26,66.18,66.53,65.4,65.46,2261172
2024-02-27,65.46,66.67,65.3,65.98,2297423
2024-02-28,66,66.18,63.85,63.88,2219026
2024-02-29,64.16,64.4,61.91,61.98,5261753
2024-03-01,62.56,63.5,62.22,63.14,1221512
2024-03-04,63.64,64,61.92,62.05,1253961
2024-03-05,61.8,62.12,60.8,61.81,1929295
2024-03-06,62,63.26,61.98,62.96,1418982
2024-03-07,62.59,63.2,61.85,62.25,1071985
2024-03-08,62.26,63.17,62.24,63.02,1777558
2024-03-11,62.97,63.12,62,62.36,1052225
2024-03-12,62.78,62.8,61.78,62.64,2325170
2024-03-13,62.68,62.71,61.33,62.38,2885584
2024-03-14,62.5,64.24,62.5,63.71,2230350
2024-03-15,63.8,64.83,63.04,64.05,8620724
2024-03-18,64.4,64.5,62.65,63.18,1634745
2024-03-19,63.19,63.97,62.1,63.35,1498039
2024-03-20,63.51,63.51,62.16,62.45,1004855
2024-03-21,62.94,63.28,62.62,62.76,797547
2024-03-22,62.76,63.1,62.33,62.84,580472
